SqFt,Bedrooms,Bathrooms,GarageCars,Age,LotSize,Floors,Pool,Fireplace,Renovated,Neighborhood,Condition,Style,Price
1677.0,2.0,2.5,2.0,32.0,7242.0,1.0,1.0,1.0,1.0,Heritage,Poor,Cape Cod,242400.0
1096.0,1.0,1.5,3.0,38.0,17423.0,3.0,0.0,1.0,0.0,Eastside,Good,Colonial,215700.0
3084.0,5.0,1.5,3.0,15.0,11117.0,1.0,0.0,0.0,0.0,Midtown,Excellent,Modern,664700.0
4517.0,,2.0,0.0,48.0,16123.0,2.0,1.0,0.0,0.0,Eastside,Poor,Ranch,462700.0
974.0,6.0,1.0,0.0,27.0,10760.0,3.0,1.0,1.0,1.0,Downtown,Good,Colonial,330100.0
4390.0,4.0,3.0,2.0,57.0,10823.0,2.0,1.0,0.0,1.0,Eastside,Fair,Modern,524200.0
4258.0,1.0,3.0,1.0,5.0,12815.0,2.5,0.0,0.0,0.0,Downtown,Fair,Modern,685700.0
1890.0,6.0,2.0,1.0,19.0,19260.0,2.5,0.0,1.0,1.0,Downtown,Good,Cape Cod,478700.0
3416.0,3.0,2.0,0.0,43.0,9874.0,3.0,0.0,1.0,0.0,Eastside,Good,Cape Cod,405300.0
1410.0,2.0,2.0,1.0,53.0,12723.0,2.0,0.0,0.0,0.0,Eastside,Good,Victorian,199200.0
3959.0,6.0,3.0,1.0,,18550.0,3.0,0.0,1.0,1.0,Heritage,Poor,Colonial,490900.0
3712.0,5.0,3.5,1.0,58.0,8701.0,2.0,0.0,1.0,1.0,Eastside,Good,Colonial,500300.0
2224.0,5.0,1.0,2.0,11.0,17118.0,3.0,0.0,0.0,1.0,Heritage,Fair,Cape Cod,372600.0
992.0,2.0,2.0,2.0,24.0,11630.0,2.5,0.0,0.0,1.0,Lakeside,Fair,Modern,267400.0
4874.0,6.0,1.0,1.0,18.0,17824.0,1.0,0.0,1.0,0.0,Uptown,Excellent,Cape Cod,947800.0
2616.0,3.0,2.5,0.0,25.0,10420.0,2.5,0.0,1.0,1.0,Heritage,Poor,Victorian,310600.0
4540.0,4.0,1.5,2.0,54.0,13331.0,3.0,0.0,0.0,1.0,Midtown,Fair,Victorian,624200.0
3615.0,5.0,2.0,0.0,43.0,7819.0,1.0,1.0,0.0,0.0,Eastside,Fair,Cape Cod,418400.0
4047.0,4.0,2.5,1.0,47.0,13430.0,3.0,0.0,1.0,0.0,Downtown,Poor,Modern,545700.0
3967.0,,2.0,1.0,15.0,7872.0,1.0,0.0,0.0,0.0,Suburbs,Excellent,Colonial,634100.0
1536.0,2.0,2.0,0.0,56.0,12965.0,3.0,0.0,0.0,1.0,Eastside,Fair,Victorian,210200.0
2264.0,3.0,3.5,,26.0,16197.0,2.5,0.0,0.0,1.0,Uptown,Good,Colonial,493600.0
2706.0,6.0,3.5,1.0,39.0,9827.0,1.0,0.0,0.0,1.0,Eastside,Fair,Modern,366400.0
2840.0,5.0,1.0,3.0,41.0,9726.0,2.5,1.0,1.0,0.0,Downtown,Excellent,Ranch,678600.0
888.0,3.0,2.0,3.0,39.0,7797.0,1.0,0.0,1.0,0.0,Uptown,Good,Cape Cod,253100.0
3050.0,5.0,3.5,0.0,36.0,15148.0,2.0,0.0,0.0,0.0,Westside,Fair,Cape Cod,439400.0
1363.0,5.0,2.5,2.0,28.0,12656.0,3.0,0.0,1.0,0.0,Eastside,Excellent,Ranch,325900.0
3896.0,3.0,1.5,2.0,38.0,11295.0,1.5,0.0,0.0,0.0,Heritage,Excellent,Modern,580000.0
3637.0,3.0,3.0,1.0,54.0,2459.0,1.0,1.0,0.0,0.0,Heritage,Good,Ranch,438100.0
4666.0,6.0,1.5,1.0,23.0,3981.0,2.0,1.0,0.0,0.0,Lakeside,Poor,Colonial,654300.0
3902.0,4.0,1.0,3.0,30.0,2134.0,1.5,0.0,1.0,0.0,Downtown,Good,Colonial,700800.0
2276.0,1.0,3.0,1.0,10.0,17304.0,1.0,1.0,1.0,1.0,Eastside,Good,Victorian,383600.0
4860.0,5.0,2.5,0.0,21.0,17329.0,2.0,0.0,1.0,0.0,Suburbs,Fair,Cape Cod,641600.0
2466.0,4.0,3.5,1.0,46.0,3222.0,1.5,0.0,0.0,0.0,Uptown,Poor,Victorian,324600.0
2101.0,4.0,2.0,1.0,38.0,2835.0,1.0,1.0,0.0,0.0,Suburbs,Good,Colonial,323400.0
4593.0,5.0,3.5,1.0,12.0,16065.0,1.5,0.0,0.0,1.0,Midtown,Excellent,Ranch,892600.0
2292.0,6.0,2.0,0.0,32.0,11446.0,1.0,1.0,1.0,1.0,Downtown,Fair,Cape Cod,432600.0
1028.0,2.0,3.5,0.0,48.0,7560.0,3.0,0.0,0.0,0.0,Eastside,Fair,Colonial,138900.0
2719.0,3.0,1.0,3.0,,13069.0,3.0,0.0,1.0,1.0,Suburbs,Poor,Victorian,381900.0
4121.0,2.0,1.0,0.0,3.0,6256.0,1.5,0.0,1.0,1.0,Eastside,Good,Ranch,516400.0
1514.0,4.0,3.5,2.0,23.0,5567.0,3.0,1.0,0.0,1.0,Westside,Excellent,Colonial,449100.0
,3.0,3.5,,39.0,8614.0,2.0,0.0,0.0,0.0,Suburbs,Excellent,Victorian,453400.0
1258.0,3.0,4.0,2.0,18.0,18123.0,3.0,1.0,0.0,0.0,Downtown,Fair,Cape Cod,360500.0
3651.0,5.0,2.0,3.0,49.0,15808.0,1.0,0.0,1.0,0.0,Lakeside,Poor,Colonial,542900.0
2745.0,3.0,1.0,0.0,50.0,5421.0,1.5,0.0,1.0,0.0,Westside,Fair,Victorian,329300.0
2119.0,3.0,4.0,1.0,31.0,12110.0,2.5,0.0,0.0,0.0,Uptown,Excellent,Cape Cod,446600.0
1675.0,,3.0,0.0,22.0,17921.0,1.5,0.0,1.0,0.0,Heritage,Poor,Colonial,238800.0
3127.0,2.0,1.5,2.0,2.0,19129.0,3.0,0.0,0.0,0.0,Suburbs,Poor,Colonial,397800.0
3580.0,1.0,3.5,2.0,49.0,15733.0,2.0,0.0,0.0,0.0,Heritage,Excellent,Ranch,554200.0
4743.0,5.0,4.0,3.0,53.0,4319.0,2.0,0.0,1.0,0.0,Downtown,Good,Cape Cod,816800.0
2579.0,1.0,1.5,1.0,26.0,6333.0,2.0,0.0,1.0,0.0,Westside,Poor,Ranch,318100.0
1390.0,,3.5,0.0,,5934.0,2.5,0.0,0.0,0.0,Downtown,Poor,Colonial,218900.0
4280.0,5.0,3.5,3.0,45.0,4713.0,1.0,1.0,1.0,0.0,Suburbs,Fair,Ranch,557700.0
3407.0,1.0,2.5,2.0,41.0,5155.0,2.5,0.0,1.0,1.0,Midtown,Good,Modern,527200.0
3711.0,4.0,3.0,3.0,,7692.0,2.5,1.0,1.0,0.0,Downtown,Excellent,Colonial,903800.0
1118.0,5.0,1.5,1.0,40.0,11999.0,3.0,0.0,1.0,0.0,Midtown,Excellent,Modern,283100.0
2043.0,4.0,4.0,1.0,55.0,9163.0,3.0,1.0,0.0,0.0,Suburbs,Fair,Modern,312100.0
4001.0,2.0,,1.0,45.0,9574.0,2.5,0.0,0.0,0.0,Downtown,Fair,Ranch,613500.0
4278.0,1.0,4.0,2.0,28.0,6424.0,2.0,0.0,1.0,0.0,Heritage,Excellent,Colonial,638000.0
2571.0,6.0,3.5,0.0,31.0,4718.0,2.0,0.0,0.0,0.0,Heritage,Excellent,Ranch,416300.0
4160.0,2.0,1.0,3.0,15.0,19980.0,1.5,0.0,0.0,0.0,Heritage,Poor,Ranch,469600.0
4319.0,5.0,2.0,0.0,39.0,12781.0,3.0,0.0,0.0,1.0,Suburbs,Good,Victorian,602100.0
2366.0,2.0,2.5,1.0,14.0,6133.0,1.5,0.0,0.0,1.0,Midtown,Good,Colonial,426200.0
4561.0,1.0,4.0,1.0,20.0,16579.0,2.0,1.0,0.0,0.0,Uptown,Poor,Ranch,639800.0
1939.0,5.0,2.5,2.0,15.0,16951.0,1.0,0.0,0.0,0.0,Uptown,Excellent,Victorian,507500.0
1730.0,6.0,2.5,2.0,20.0,19402.0,1.5,0.0,0.0,1.0,Midtown,Fair,Victorian,392800.0
3634.0,6.0,,3.0,22.0,4864.0,1.5,1.0,0.0,0.0,Eastside,Good,Cape Cod,499200.0
3438.0,5.0,3.5,3.0,4.0,13519.0,2.0,0.0,1.0,1.0,Midtown,Fair,Modern,605900.0
1300.0,2.0,2.0,0.0,43.0,19644.0,2.0,0.0,1.0,0.0,Uptown,Good,Colonial,284300.0
4280.0,6.0,1.0,0.0,26.0,16520.0,2.5,1.0,0.0,0.0,Heritage,Excellent,Victorian,722800.0
1559.0,5.0,4.0,3.0,56.0,6059.0,2.0,1.0,0.0,0.0,Heritage,Fair,Ranch,285200.0
4161.0,2.0,1.5,1.0,10.0,18074.0,1.0,1.0,0.0,1.0,Uptown,Fair,Colonial,694800.0
731.0,1.0,1.0,0.0,40.0,9590.0,2.0,1.0,1.0,1.0,Suburbs,Excellent,Victorian,179800.0
4126.0,6.0,1.0,3.0,10.0,10800.0,1.0,0.0,1.0,1.0,Eastside,Excellent,Ranch,706500.0
4083.0,2.0,2.5,2.0,32.0,12054.0,3.0,0.0,1.0,0.0,Uptown,Excellent,Cape Cod,843500.0
,5.0,1.0,0.0,29.0,15885.0,2.5,0.0,1.0,1.0,Heritage,Excellent,Victorian,656000.0
3558.0,1.0,3.5,3.0,26.0,4165.0,1.5,1.0,0.0,0.0,Midtown,Good,Modern,604300.0
2727.0,2.0,2.5,2.0,39.0,11706.0,1.5,1.0,0.0,0.0,Downtown,Excellent,Colonial,613500.0
3732.0,2.0,2.0,2.0,49.0,16702.0,1.0,0.0,0.0,1.0,Suburbs,Excellent,Cape Cod,612100.0
1891.0,2.0,1.0,3.0,19.0,11873.0,1.5,0.0,0.0,1.0,Downtown,Poor,Colonial,320100.0
4057.0,5.0,2.5,1.0,50.0,6944.0,1.0,0.0,0.0,0.0,Midtown,Good,Cape Cod,575000.0
3089.0,6.0,1.5,1.0,11.0,3013.0,3.0,0.0,1.0,0.0,Uptown,Poor,Victorian,444000.0
2673.0,6.0,4.0,2.0,17.0,11886.0,1.0,1.0,0.0,0.0,Lakeside,Good,Modern,616300.0
2874.0,5.0,,0.0,18.0,14660.0,2.5,0.0,1.0,0.0,Heritage,Fair,Colonial,371100.0
3145.0,2.0,2.5,0.0,57.0,11893.0,2.0,0.0,0.0,0.0,Suburbs,Fair,Cape Cod,348500.0
860.0,6.0,1.0,3.0,7.0,19628.0,1.5,1.0,0.0,1.0,Heritage,Excellent,Ranch,341500.0
1301.0,4.0,1.0,0.0,23.0,12847.0,3.0,0.0,1.0,0.0,Eastside,Good,Ranch,224200.0
1755.0,4.0,1.5,2.0,25.0,11148.0,1.0,0.0,0.0,1.0,Uptown,Good,Victorian,389900.0
1192.0,5.0,1.0,1.0,48.0,2998.0,3.0,0.0,0.0,0.0,Midtown,Excellent,Cape Cod,227500.0
2590.0,5.0,3.5,0.0,29.0,12054.0,2.5,0.0,0.0,0.0,Midtown,Poor,Cape Cod,348900.0
3574.0,6.0,4.0,2.0,58.0,5035.0,2.5,0.0,1.0,0.0,Suburbs,Good,Cape Cod,502300.0
3514.0,4.0,4.0,3.0,44.0,15045.0,3.0,0.0,0.0,0.0,Lakeside,Poor,Victorian,576900.0
2725.0,4.0,1.5,1.0,42.0,4901.0,2.0,0.0,1.0,0.0,Downtown,Poor,Cape Cod,360900.0
4376.0,5.0,3.5,0.0,45.0,18320.0,1.5,0.0,1.0,0.0,Downtown,Poor,Victorian,595800.0
3130.0,2.0,2.5,0.0,9.0,7436.0,1.0,0.0,1.0,1.0,Uptown,Good,Victorian,558700.0
1040.0,2.0,1.0,0.0,26.0,9811.0,3.0,0.0,0.0,0.0,Suburbs,Good,Ranch,162200.0
3989.0,4.0,1.0,3.0,35.0,4608.0,2.0,1.0,1.0,0.0,Downtown,Excellent,Modern,825200.0
3170.0,1.0,2.5,1.0,12.0,5792.0,3.0,0.0,0.0,1.0,Midtown,Fair,Colonial,469600.0
3429.0,2.0,2.0,1.0,7.0,18594.0,1.5,0.0,1.0,0.0,Midtown,Excellent,Ranch,671000.0
3131.0,5.0,1.0,0.0,8.0,7106.0,3.0,1.0,0.0,1.0,Suburbs,Fair,Colonial,469700.0
3080.0,6.0,4.0,1.0,47.0,11233.0,3.0,0.0,0.0,1.0,Lakeside,Poor,Modern,506900.0
1089.0,4.0,3.5,3.0,39.0,19665.0,1.5,0.0,0.0,1.0,Heritage,Poor,Colonial,228500.0
3104.0,3.0,,1.0,16.0,13224.0,2.0,1.0,1.0,0.0,Westside,Poor,Colonial,432700.0
4118.0,3.0,4.0,2.0,44.0,2749.0,2.5,0.0,1.0,1.0,Eastside,Fair,Colonial,514000.0
2006.0,5.0,,0.0,41.0,8434.0,1.5,0.0,0.0,0.0,Heritage,Fair,Victorian,270100.0
3292.0,4.0,4.0,0.0,48.0,8963.0,1.0,0.0,0.0,0.0,Uptown,Excellent,Modern,618300.0
832.0,1.0,1.5,2.0,54.0,6972.0,1.5,0.0,1.0,1.0,Midtown,Poor,Modern,112800.0
2194.0,4.0,4.0,0.0,52.0,6341.0,2.0,0.0,1.0,0.0,Downtown,Fair,Ranch,365300.0
2577.0,3.0,2.5,,10.0,11057.0,1.0,0.0,1.0,1.0,Westside,Excellent,Colonial,512700.0
4925.0,5.0,3.5,1.0,46.0,8786.0,1.5,0.0,0.0,0.0,Downtown,Poor,Modern,622300.0
1622.0,6.0,4.0,0.0,23.0,7297.0,3.0,1.0,1.0,0.0,Westside,Fair,Colonial,343900.0
1889.0,6.0,1.5,2.0,24.0,9433.0,1.0,0.0,1.0,0.0,Lakeside,Poor,Ranch,318600.0
2456.0,4.0,2.5,3.0,38.0,8185.0,1.0,0.0,0.0,1.0,Suburbs,Good,Colonial,405900.0
4968.0,3.0,1.0,0.0,36.0,6117.0,2.0,0.0,0.0,0.0,Eastside,Excellent,Modern,638300.0
,3.0,1.5,,25.0,10149.0,1.0,1.0,0.0,1.0,Uptown,Poor,Modern,632900.0
849.0,2.0,2.0,2.0,59.0,18961.0,1.0,0.0,0.0,0.0,Midtown,Fair,Ranch,167500.0
1705.0,6.0,3.5,2.0,10.0,11103.0,1.0,0.0,1.0,1.0,Eastside,Fair,Modern,322000.0
4233.0,6.0,4.0,0.0,5.0,12756.0,1.0,0.0,0.0,0.0,Suburbs,Excellent,Ranch,762900.0
950.0,6.0,2.0,3.0,1.0,19717.0,3.0,0.0,0.0,1.0,Lakeside,Excellent,Modern,506400.0
4379.0,2.0,2.0,0.0,48.0,13045.0,1.0,0.0,0.0,0.0,Midtown,Poor,Victorian,494300.0
1909.0,2.0,2.5,3.0,24.0,6019.0,2.0,1.0,1.0,0.0,Midtown,Fair,Ranch,362700.0
4645.0,6.0,4.0,2.0,26.0,9172.0,2.5,0.0,1.0,1.0,Lakeside,Excellent,Colonial,1063600.0
1962.0,,4.0,1.0,38.0,10783.0,2.5,0.0,0.0,0.0,Suburbs,Poor,Cape Cod,258800.0
2567.0,5.0,1.5,0.0,26.0,10546.0,2.5,0.0,1.0,0.0,Midtown,Excellent,Victorian,492600.0
3546.0,3.0,1.5,2.0,34.0,4691.0,1.5,0.0,0.0,1.0,Heritage,Poor,Modern,364500.0
1243.0,3.0,3.0,0.0,3.0,3905.0,3.0,0.0,1.0,1.0,Midtown,Good,Modern,274500.0
3095.0,4.0,2.0,2.0,9.0,8299.0,1.0,1.0,1.0,1.0,Downtown,Excellent,Ranch,772800.0
2871.0,5.0,1.5,3.0,55.0,18456.0,1.0,0.0,0.0,1.0,Uptown,Good,Cape Cod,515500.0
4070.0,3.0,1.0,,27.0,14911.0,3.0,0.0,1.0,1.0,Heritage,Excellent,Colonial,615900.0
4983.0,5.0,2.0,0.0,10.0,17150.0,1.0,0.0,0.0,0.0,Lakeside,Good,Modern,914200.0
3556.0,2.0,2.0,0.0,22.0,5140.0,1.0,0.0,1.0,0.0,Lakeside,Poor,Victorian,462200.0
2459.0,3.0,2.5,0.0,20.0,9456.0,1.0,0.0,0.0,1.0,Uptown,Good,Victorian,437400.0
2447.0,6.0,1.5,0.0,16.0,12464.0,1.0,0.0,1.0,1.0,Lakeside,Good,Colonial,473800.0
2497.0,6.0,3.5,0.0,17.0,9817.0,1.0,0.0,0.0,0.0,Midtown,Fair,Cape Cod,386900.0
4200.0,6.0,3.0,2.0,43.0,9500.0,2.0,1.0,0.0,0.0,Lakeside,Poor,Ranch,633100.0
2081.0,2.0,2.5,1.0,6.0,8476.0,2.5,1.0,0.0,0.0,Heritage,Good,Cape Cod,349300.0
1417.0,6.0,1.5,3.0,18.0,2928.0,1.0,1.0,1.0,1.0,Suburbs,Good,Colonial,331600.0
2137.0,6.0,2.5,3.0,28.0,17430.0,3.0,1.0,0.0,0.0,Heritage,Excellent,Cape Cod,508700.0
,6.0,,3.0,32.0,18795.0,1.0,0.0,1.0,1.0,Westside,Poor,Ranch,228300.0
1156.0,1.0,2.0,2.0,52.0,3455.0,2.5,0.0,0.0,1.0,Westside,Good,Ranch,203200.0
1087.0,5.0,1.5,,55.0,9444.0,3.0,0.0,1.0,0.0,Lakeside,Excellent,Ranch,304800.0
4017.0,6.0,2.5,3.0,,11321.0,2.0,1.0,0.0,0.0,Suburbs,Excellent,Victorian,739700.0
3806.0,5.0,2.0,0.0,32.0,16110.0,2.0,0.0,1.0,0.0,Westside,Excellent,Colonial,670900.0
3696.0,2.0,2.0,1.0,1.0,19761.0,1.0,0.0,1.0,0.0,Suburbs,Poor,Victorian,459600.0
2686.0,5.0,2.0,1.0,37.0,9493.0,1.5,0.0,0.0,0.0,Uptown,Poor,Cape Cod,358300.0
3783.0,1.0,2.0,2.0,9.0,15480.0,3.0,0.0,0.0,0.0,Downtown,Good,Ranch,708800.0
1393.0,3.0,3.5,2.0,4.0,18872.0,1.5,0.0,1.0,1.0,Suburbs,Fair,Victorian,328300.0
4572.0,4.0,2.5,3.0,40.0,16945.0,1.0,0.0,0.0,0.0,Heritage,Poor,Modern,470000.0
2854.0,3.0,2.5,3.0,10.0,7228.0,2.5,0.0,0.0,0.0,Uptown,Poor,Victorian,427600.0
,5.0,3.0,1.0,28.0,16714.0,2.5,1.0,0.0,0.0,Midtown,Poor,Cape Cod,606700.0
1354.0,2.0,2.0,3.0,6.0,9420.0,1.0,0.0,1.0,1.0,Midtown,Fair,Modern,308400.0
2838.0,4.0,1.0,0.0,44.0,2315.0,1.0,0.0,1.0,0.0,Westside,Good,Ranch,364100.0
3694.0,4.0,3.5,3.0,45.0,15659.0,1.0,0.0,1.0,0.0,Eastside,Poor,Victorian,412800.0
2831.0,4.0,1.0,0.0,34.0,17037.0,1.0,0.0,1.0,1.0,Eastside,Poor,Colonial,292800.0
2618.0,2.0,3.0,3.0,50.0,8186.0,2.5,0.0,0.0,0.0,Lakeside,Fair,Ranch,434200.0
1414.0,2.0,1.5,1.0,26.0,10116.0,1.0,0.0,0.0,0.0,Midtown,Excellent,Cape Cod,288300.0
2338.0,2.0,1.5,3.0,11.0,8558.0,2.5,0.0,0.0,0.0,Lakeside,Excellent,Colonial,570700.0
1726.0,3.0,1.0,0.0,9.0,4106.0,1.0,0.0,0.0,1.0,Heritage,Fair,Ranch,224800.0
1996.0,4.0,4.0,1.0,13.0,19906.0,3.0,0.0,0.0,1.0,Westside,Poor,Colonial,325100.0
3639.0,3.0,2.5,3.0,12.0,2407.0,2.5,1.0,1.0,0.0,Downtown,Poor,Cape Cod,572600.0
3410.0,3.0,2.0,0.0,19.0,12001.0,1.5,0.0,0.0,1.0,Uptown,Excellent,Victorian,721500.0
3310.0,2.0,3.5,1.0,12.0,2268.0,2.0,0.0,0.0,1.0,Eastside,Fair,Cape Cod,400400.0
2255.0,2.0,1.0,0.0,35.0,14408.0,1.0,0.0,0.0,1.0,Midtown,Poor,Victorian,287100.0
4826.0,4.0,2.5,1.0,8.0,18215.0,1.0,0.0,0.0,1.0,Uptown,Excellent,Ranch,1004500.0
1076.0,,2.5,1.0,37.0,13582.0,2.0,1.0,0.0,1.0,Uptown,Good,Colonial,285500.0
2173.0,2.0,2.5,2.0,20.0,12911.0,1.0,0.0,0.0,0.0,Downtown,Fair,Ranch,384800.0
1207.0,6.0,1.0,1.0,41.0,16902.0,2.5,0.0,0.0,0.0,Suburbs,Fair,Victorian,197700.0
2157.0,4.0,4.0,0.0,,19536.0,1.5,0.0,0.0,1.0,Lakeside,Poor,Colonial,388100.0
4836.0,2.0,1.5,0.0,54.0,17512.0,1.0,1.0,1.0,0.0,Downtown,Excellent,Cape Cod,913000.0
2274.0,3.0,3.0,3.0,26.0,6165.0,2.0,0.0,1.0,0.0,Lakeside,Excellent,Colonial,617600.0
4606.0,1.0,3.5,3.0,17.0,12138.0,2.0,1.0,1.0,1.0,Uptown,Poor,Colonial,664700.0
2828.0,1.0,2.0,0.0,35.0,16738.0,2.5,0.0,1.0,1.0,Lakeside,Good,Cape Cod,539200.0
3708.0,3.0,1.0,0.0,39.0,7302.0,1.0,0.0,1.0,1.0,Uptown,Poor,Victorian,438900.0
2666.0,3.0,2.0,0.0,26.0,14153.0,2.0,0.0,0.0,1.0,Lakeside,Fair,Ranch,459100.0
1843.0,5.0,3.5,3.0,33.0,2410.0,3.0,0.0,1.0,0.0,Eastside,Good,Victorian,317700.0
3986.0,1.0,4.0,2.0,28.0,17791.0,1.5,0.0,0.0,1.0,Lakeside,Poor,Colonial,619300.0
4867.0,6.0,4.0,3.0,18.0,13059.0,3.0,0.0,0.0,1.0,Downtown,Good,Modern,950000.0
1833.0,2.0,1.5,1.0,18.0,15376.0,2.5,0.0,0.0,0.0,Lakeside,Poor,Victorian,317700.0
4048.0,1.0,3.0,2.0,54.0,16858.0,2.0,0.0,0.0,0.0,Uptown,Good,Modern,637500.0
1822.0,5.0,1.5,0.0,40.0,5938.0,3.0,0.0,1.0,1.0,Uptown,Fair,Cape Cod,316000.0
3782.0,5.0,3.0,2.0,5.0,10109.0,3.0,0.0,0.0,0.0,Downtown,Poor,Modern,615900.0
4092.0,4.0,2.0,2.0,57.0,17455.0,1.5,0.0,1.0,0.0,Heritage,Excellent,Colonial,626900.0
2632.0,,3.0,1.0,42.0,4964.0,3.0,0.0,1.0,0.0,Westside,Fair,Colonial,347200.0
3868.0,1.0,3.0,2.0,3.0,16804.0,1.0,0.0,0.0,0.0,Heritage,Excellent,Victorian,640400.0
1870.0,3.0,4.0,2.0,43.0,7185.0,1.0,0.0,0.0,0.0,Eastside,Excellent,Victorian,311500.0
1040.0,3.0,2.5,1.0,35.0,12359.0,1.0,0.0,0.0,1.0,Suburbs,Poor,Colonial,169100.0
1114.0,6.0,2.0,0.0,54.0,11179.0,1.5,0.0,0.0,1.0,Uptown,Good,Cape Cod,240200.0
2622.0,2.0,2.5,0.0,29.0,14356.0,3.0,0.0,1.0,1.0,Midtown,Fair,Cape Cod,412600.0
4581.0,2.0,1.5,3.0,31.0,17060.0,2.5,0.0,1.0,0.0,Suburbs,Good,Colonial,669700.0
1248.0,6.0,1.0,1.0,18.0,8281.0,2.5,1.0,1.0,0.0,Heritage,Good,Modern,247800.0
2659.0,1.0,2.5,1.0,19.0,5091.0,1.0,0.0,0.0,0.0,Heritage,Fair,Cape Cod,306000.0
3727.0,1.0,3.5,2.0,,9610.0,2.0,0.0,1.0,1.0,Eastside,Good,Ranch,514400.0
1570.0,3.0,2.5,1.0,49.0,13018.0,1.5,0.0,1.0,1.0,Eastside,Fair,Colonial,230700.0
3802.0,3.0,3.5,1.0,53.0,15507.0,2.0,0.0,0.0,0.0,Westside,Excellent,Modern,634700.0
2015.0,4.0,1.5,2.0,46.0,15560.0,1.5,0.0,0.0,1.0,Westside,Excellent,Victorian,430700.0
4177.0,6.0,2.5,2.0,36.0,8119.0,1.5,0.0,0.0,0.0,Downtown,Poor,Modern,587200.0
